,name,cycle,datetime,capacity,ambient_temp,voltage_measured,current_measured,temperature_measured,time,TIEDVD
0,B0018,1,7/7/2008 15:15,1.855004521,24,3.053230339,-0.002433415,37.2056713,3434.891,2339.328
1,B0018,2,7/7/2008 21:53,1.843195532,24,3.08820017,-0.000910648,37.15547522,3425.485,2357.547
2,B0018,3,7/8/2008 2:56,1.839601842,24,3.076857654,-0.000684881,36.68085193,3410.375,2354.172
3,B0018,4,7/8/2008 7:58,1.830673604,24,3.10242391,-0.0025472,36.04487047,3404.719,2331.031
4,B0018,5,7/8/2008 18:57,1.832700207,24,3.117644174,-0.003002155,37.08459677,3417.641,2345.687
5,B0018,6,7/8/2008 22:57,1.828528885,24,3.114007319,-0.001247787,37.05331129,3411.766,2342.766
6,B0018,7,7/9/2008 2:56,1.82120119,24,3.169283092,-0.000793812,36.3514535,3399.516,2315.296
7,B0018,8,7/9/2008 6:55,1.815170011,24,3.164680268,-0.00071762,36.12752493,3388.75,2308.75
8,B0018,9,7/9/2008 11:26,1.804298052,24,3.166890959,0.000448821,36.03872902,3380.406,2302.015
9,B0018,10,7/10/2008 16:34,1.82310023,24,3.144175531,-0.000968223,36.34921922,3404.141,2323.078
10,B0018,11,7/10/2008 20:33,1.812125352,24,3.163511863,-0.00010607,36.41785812,3396.141,2317.468
11,B0018,12,7/11/2008 0:30,1.804691638,24,3.197452536,-0.001104817,35.98523209,3384.094,2298.969
12,B0018,13,7/11/2008 4:28,1.79084435,24,3.234382458,0.00320499,35.35847798,3370.656,2269.938
13,B0018,14,7/11/2008 8:59,1.783470723,24,3.241810891,-0.000536101,35.09411802,3357.797,2251.578
14,B0018,15,7/11/2008 14:27,1.780938613,24,3.227333798,-0.004295588,35.57799246,3363.015,2250.641
15,B0018,16,7/11/2008 18:25,1.77120904,24,3.238447609,-0.001087277,35.99210617,3357.734,2249.187
16,B0018,17,7/11/2008 22:22,1.7686304,24,3.252365296,0.003057635,35.93164465,3344.187,2232.485
17,B0018,18,7/12/2008 2:18,1.75363048,24,3.298355582,-0.000542197,35.13854125,3339.969,2201.359
18,B0018,19,7/12/2008 6:45,1.746219742,24,3.299099453,0.001727477,34.75361973,3327.641,2182.609
19,B0018,20,7/12/2008 11:15,1.737664734,24,3.282912204,0.000396205,34.66683735,3312.844,2151.859
20,B0018,21,7/12/2008 15:13,1.731516674,24,3.314359923,-0.00076384,34.31957483,3302.031,2137.015
21,B0018,22,7/12/2008 18:52,1.708594989,24,3.337095987,0.001460622,34.05159011,3305.547,2124.296
22,B0018,23,7/12/2008 22:50,1.711469957,24,3.345396458,0.00033552,34.1400493,3289.562,2113.625
23,B0018,24,7/13/2008 3:19,1.707502137,24,3.356538776,0.001851751,34.03941375,3283.797,2091.687
24,B0018,25,7/14/2008 13:08,1.749238206,24,3.291271946,0.000648271,34.67226842,3325.235,2162.406
25,B0018,26,7/14/2008 17:03,1.732769715,24,3.299724834,0.000922714,35.34646737,3317.547,2139.125
26,B0018,27,7/14/2008 20:57,1.722231333,24,3.343787628,-0.001165964,35.22218595,3311.766,2127.14
27,B0018,28,7/15/2008 0:49,1.711846299,24,3.35820819,0.001578776,35.04987373,3305.218,2105.109
28,B0018,29,7/15/2008 5:14,1.699267835,24,3.355478059,0.001821746,34.99761831,3295.453,2079.469
29,B0018,30,7/15/2008 9:43,1.694036644,24,3.380671603,-0.002532937,34.54102016,3287,2065.532
30,B0018,31,7/15/2008 13:36,1.681902708,24,3.39557049,0.0009201,34.50920677,3276.922,2029.765
31,B0018,32,7/15/2008 17:29,1.676977062,24,3.391299823,-0.001831758,34.91065229,3268.687,2016.312
32,B0018,33,7/15/2008 21:21,1.665522931,24,3.404046821,0.001599273,34.89441645,3260.594,2003.609
33,B0018,34,7/16/2008 1:45,1.657192458,24,3.418829402,0.002319651,34.53288079,3258.812,1974.25
34,B0018,35,7/16/2008 6:12,1.648224156,24,3.414850129,-0.000457712,34.51313963,3243.422,1953.375
35,B0018,36,7/16/2008 10:05,1.63877015,24,3.416022,0.00132745,34.43103153,3236.515,1921.906
36,B0018,37,7/16/2008 13:57,1.627648691,24,3.455015989,0.001548641,33.89640362,3230.734,1909.219
37,B0018,38,7/16/2008 17:51,1.622153702,24,3.436281191,0.003092328,34.56920757,3222.093,1894.375
38,B0018,39,7/16/2008 22:13,1.614006651,24,3.44499732,0.00109371,34.50595871,3220.344,1888.672
39,B0018,40,7/18/2008 17:28,1.676051615,24,3.336282449,-0.001096783,34.92518024,3250.75,1985.563
40,B0018,41,7/18/2008 21:19,1.649300643,24,3.406910129,0.003628593,34.21002176,3239.344,1946.391
41,B0018,42,7/19/2008 1:10,1.632382992,24,3.408535629,-0.0009739,34.19993306,3222.25,1911.157
42,B0018,43,7/19/2008 5:01,1.616415972,24,3.424618629,-0.000917253,33.93860566,3206.157,1880.281
43,B0018,44,7/19/2008 9:25,1.610902838,24,3.451040334,0.000593435,33.47620704,3197.969,1854.641
44,B0018,45,7/19/2008 13:53,1.595463869,24,3.447127789,-0.003046378,33.53169798,3181.625,1824.266
45,B0018,46,7/29/2008 18:34,1.72670744,24,3.153251692,-0.000685326,34.64187919,3302.36,2161.016
46,B0018,47,7/29/2008 22:21,1.716567392,24,3.220999602,-0.001743322,34.51797227,3285.812,2129.234
47,B0018,48,7/30/2008 2:09,1.695823557,24,3.27953431,0.000826926,34.4020179,3260.016,2077.75
48,B0018,49,7/30/2008 5:57,1.677778319,24,3.312914062,-0.000678723,34.34093454,3240.031,2031.047
49,B0018,50,7/30/2008 9:52,1.66065869,24,3.347201035,0.002358026,34.02665838,3232.265,1994.906
50,B0018,51,7/30/2008 19:28,1.666410927,24,3.341784146,0.000532716,34.77997329,3232.031,2013.766
51,B0018,52,7/30/2008 23:16,1.646833617,24,3.340953803,0.001286104,34.91089521,3209.515,1975.328
52,B0018,53,7/31/2008 2:46,1.625763993,24,3.393857211,0.001032348,34.07147606,3196.125,1947.39
53,B0018,54,7/31/2008 6:15,1.612157741,24,3.379431086,-0.002351923,34.32783951,3172.562,1908.156
54,B0018,55,7/31/2008 10:10,1.605736682,24,3.4005756,-0.001435774,34.12133578,3172.735,1881.437
55,B0018,56,8/1/2008 17:46,1.673645315,24,3.313863632,-0.005027017,34.66127067,3238.109,1994.422
56,B0018,57,8/1/2008 21:32,1.640434857,24,3.35177638,-0.000712285,34.64276067,3191.063,1944.891
57,B0018,58,8/2/2008 1:17,1.613265332,24,3.367600825,-0.000977332,34.63237476,3165.828,1894.156
58,B0018,59,8/2/2008 5:03,1.592096432,24,3.38774316,0.001835628,34.4539714,3140.407,1852.921
59,B0018,60,8/2/2008 9:26,1.586601182,24,3.416049349,0.003491818,34.12379741,3131.922,1826.422
60,B0018,61,8/2/2008 13:55,1.580076649,24,3.421472451,0.001359849,34.10164946,3121.109,1800.282
61,B0018,62,8/2/2008 17:41,1.564173295,24,3.415883249,0.00304324,34.39355812,3105.265,1792.296
62,B0018,63,8/2/2008 21:29,1.555618272,24,3.441266303,0.001071702,34.1019197,3091.25,1751.14
63,B0018,64,8/3/2008 1:16,1.540204528,24,3.440421318,-0.003608566,34.20389504,3076.703,1732.719
64,B0018,65,8/3/2008 5:39,1.532161302,24,3.445662321,-0.000958459,34.2502124,3062.328,1702.469
65,B0018,66,8/3/2008 10:08,1.53162324,24,3.438874221,-0.001658833,34.26909054,3050.563,1697.407
66,B0018,67,8/3/2008 13:54,1.522259595,24,3.463845759,0.000224304,33.93673654,3034.672,1666.453
67,B0018,68,8/3/2008 17:42,1.506526713,24,3.460795315,0.002192863,33.94589219,3031.25,1646.937
68,B0018,69,8/3/2008 21:26,1.501421956,24,3.45793996,0.001506946,34.14326364,3011.343,1620.516
69,B0018,70,8/4/2008 1:48,1.496353412,24,3.458624303,0.000977114,34.21387438,3003,1610.11
70,B0018,71,8/4/2008 17:08,1.5334262,24,3.414320677,0.00571147,34.69706864,3045.187,1697.031
71,B0018,72,8/4/2008 20:55,1.523845268,24,3.441289288,-0.002109818,34.65377199,3028.469,1665.625
72,B0018,73,8/5/2008 0:41,1.501192099,24,3.443497944,0.001210354,34.5039069,3012.937,1634
73,B0018,74,8/5/2008 4:27,1.492417671,24,3.459920939,0.0006052,34.47189925,2998.875,1602.844
74,B0018,75,8/5/2008 8:23,1.483323852,24,3.468314103,-0.001814791,34.29303577,2983.547,1583.094
75,B0018,76,8/5/2008 12:50,1.480737679,24,3.461167189,-0.002404569,34.44293908,2966.86,1576.172
76,B0018,77,8/5/2008 16:36,1.473507781,24,3.478026972,8.52E-05,34.34721214,2954.797,1558.141
77,B0018,78,8/5/2008 20:21,1.468019285,24,3.460131373,-0.001982681,34.85167503,2945.735,1535.14
